,0
0,['G11' 'G14' 'G18' 'G25']
1,['G10' 'G11' 'G14' 'G18' 'G25']
2,['G10' 'G11' 'G14' 'G18' 'G25']
3,['G10' 'G11' 'G14' 'G18' 'G25']
4,['G10' 'G11' 'G14' 'G18' 'G25']
5,['G10' 'G11' 'G14' 'G18' 'G25']
6,['G10' 'G11' 'G14' 'G18' 'G25']
7,['G10' 'G11' 'G14' 'G18' 'G25']
8,['G10' 'G11' 'G14' 'G18' 'G25']
9,['G10' 'G11' 'G14' 'G18' 'G25']
10,['G10' 'G11' 'G14' 'G18' 'G25']
11,['G10' 'G11' 'G14' 'G18' 'G25']
12,['G10' 'G11' 'G14' 'G18' 'G25']
13,['G10' 'G11' 'G14' 'G18' 'G25']
14,['G10' 'G11' 'G14' 'G18' 'G25']
15,['G10' 'G11' 'G14' 'G18' 'G25']
16,['G10' 'G11' 'G14' 'G18' 'G25']
17,['G10' 'G11' 'G14' 'G18' 'G25']
18,['G10' 'G11' 'G14' 'G18' 'G25']
19,['G10' 'G11' 'G14' 'G18' 'G25']
20,['G10' 'G11' 'G14' 'G18' 'G25']
21,['G10' 'G11' 'G14' 'G18' 'G25']
22,['G10' 'G11' 'G14' 'G18' 'G25']
23,['G10' 'G11' 'G14' 'G18' 'G25']
24,['G10' 'G11' 'G14' 'G18' 'G25']
25,['G10' 'G11' 'G14' 'G18' 'G25']
26,['G10' 'G11' 'G14' 'G18' 'G25']
27,['G10' 'G11' 'G14' 'G18' 'G25']
28,['G10' 'G11' 'G14' 'G18' 'G25']
29,['G10' 'G11' 'G14' 'G18' 'G25']
30,['G10' 'G11' 'G14' 'G18' 'G25']
31,['G10' 'G11' 'G14' 'G18' 'G25']
32,['G10' 'G11' 'G14' 'G18' 'G25']
33,['G10' 'G11' 'G14' 'G18' 'G25']
34,['G10' 'G11' 'G14' 'G18' 'G25']
35,['G10' 'G11' 'G14' 'G18' 'G25']
36,['G10' 'G11' 'G14' 'G18' 'G25']
37,['G10' 'G11' 'G14' 'G18' 'G25']
38,['G10' 'G11' 'G14' 'G18' 'G25']
39,['G10' 'G11' 'G14' 'G18' 'G25']
40,['G10' 'G11' 'G14' 'G18' 'G25']
41,['G10' 'G11' 'G14' 'G18' 'G25']
42,['G10' 'G11' 'G14' 'G18' 'G25']
43,['G10' 'G11' 'G14' 'G18' 'G25']
44,['G10' 'G11' 'G14' 'G18' 'G25']
45,['G10' 'G11' 'G14' 'G18' 'G25']
46,['G10' 'G11' 'G14' 'G18' 'G25']
47,['G10' 'G11' 'G14' 'G18' 'G25']
48,['G10' 'G11' 'G14' 'G18' 'G25']
49,['G10' 'G11' 'G14' 'G18' 'G25']
50,['G10' 'G11' 'G14' 'G18' 'G25']
51,['G10' 'G11' 'G14' 'G18' 'G25']
52,['G10' 'G11' 'G14' 'G18' 'G25']
53,['G10' 'G11' 'G14' 'G18' 'G25']
54,['G10' 'G11' 'G14' 'G18' 'G25']
55,['G10' 'G11' 'G14' 'G18' 'G25']
56,['G10' 'G11' 'G14' 'G18' 'G25']
57,['G10' 'G11' 'G14' 'G18' 'G25']
58,['G10' 'G11' 'G14' 'G18' 'G25']
59,['G10' 'G11' 'G14' 'G18' 'G25']
60,['G10' 'G11' 'G14' 'G18' 'G25']
61,['G10' 'G11' 'G14' 'G18' 'G25']
62,['G10' 'G11' 'G14' 'G18' 'G25']
63,['G10' 'G11' 'G14' 'G18' 'G25']
64,['G10' 'G11' 'G14' 'G18' 'G25']
65,['G10' 'G11' 'G14' 'G18' 'G25']
66,['G10' 'G11' 'G14' 'G18' 'G25']
67,['G10' 'G11' 'G14' 'G18' 'G25']
68,['G10' 'G11' 'G14' 'G18' 'G25']
69,['G10' 'G11' 'G14' 'G18' 'G25']
70,['G10' 'G11' 'G14' 'G18' 'G25']
71,['G10' 'G11' 'G14' 'G18' 'G25']
72,['G10' 'G11' 'G14' 'G18' 'G25']
73,['G10' 'G11' 'G14' 'G18' 'G25']
74,['G10' 'G11' 'G14' 'G18' 'G25']
75,['G10' 'G11' 'G14' 'G18' 'G25']
76,['G10' 'G11' 'G14' 'G18' 'G25']
77,['G10' 'G11' 'G14' 'G18' 'G25']
78,['G10' 'G11' 'G14' 'G18' 'G25']
79,['G10' 'G11' 'G14' 'G18' 'G25']
80,['G10' 'G11' 'G14' 'G18' 'G25']
81,['G10' 'G11' 'G14' 'G18' 'G25']
82,['G10' 'G11' 'G14' 'G18' 'G25']
83,['G10' 'G11' 'G14' 'G18' 'G25']
84,['G10' 'G11' 'G14' 'G18' 'G25']
85,['G10' 'G11' 'G14' 'G18' 'G25']
86,['G10' 'G11' 'G14' 'G18' 'G25']
87,['G10' 'G11' 'G14' 'G18' 'G25']
88,['G10' 'G11' 'G14' 'G18' 'G25']
89,['G10' 'G11' 'G14' 'G18' 'G25']
90,['G10' 'G11' 'G14' 'G18' 'G25']
91,['G10' 'G11' 'G14' 'G18' 'G25']
92,['G10' 'G11' 'G14' 'G18' 'G25']
93,['G10' 'G11' 'G14' 'G18' 'G25']
94,['G10' 'G11' 'G14' 'G18' 'G25']
95,['G10' 'G11' 'G14' 'G18' 'G25']
96,['G10' 'G11' 'G14' 'G18' 'G25']
97,['G10' 'G11' 'G14' 'G18' 'G25']
98,['G10' 'G11' 'G14' 'G18' 'G25']
99,['G10' 'G11' 'G14' 'G18' 'G25']
100,['G10' 'G11' 'G14' 'G18' 'G25']
101,['G10' 'G11' 'G14' 'G18' 'G25']
102,['G10' 'G11' 'G14' 'G18' 'G25']
103,['G10' 'G11' 'G14' 'G18' 'G25']
104,['G10' 'G11' 'G14' 'G18' 'G25']
105,['G10' 'G11' 'G14' 'G18' 'G25']
106,['G10' 'G11' 'G14' 'G18' 'G25']
107,['G10' 'G11' 'G14' 'G18' 'G25']
108,['G10' 'G11' 'G14' 'G18' 'G25']
109,['G10' 'G11' 'G14' 'G18' 'G25']
110,['G10' 'G11' 'G14' 'G18' 'G25']
111,['G10' 'G11' 'G14' 'G18' 'G25']
112,['G10' 'G11' 'G14' 'G18' 'G25']
113,['G10' 'G11' 'G14' 'G18' 'G25']
114,['G10' 'G11' 'G14' 'G18' 'G25']
115,['G10' 'G11' 'G14' 'G18' 'G25']
116,['G10' 'G11' 'G14' 'G18' 'G25']
117,['G10' 'G11' 'G14' 'G18' 'G25']
118,['G10' 'G11' 'G14' 'G18' 'G25']
119,['G10' 'G11' 'G14' 'G18' 'G25']
120,['G10' 'G11' 'G14' 'G18' 'G25']
121,['G10' 'G11' 'G14' 'G18' 'G25']
122,['G10' 'G11' 'G14' 'G18' 'G25']
123,['G10' 'G11' 'G14' 'G18' 'G25']
124,['G10' 'G11' 'G14' 'G18' 'G25']
125,['G10' 'G11' 'G14' 'G18' 'G25']
126,['G10' 'G11' 'G14' 'G18' 'G25']
127,['G10' 'G11' 'G14' 'G18' 'G25']
128,['G10' 'G11' 'G14' 'G18' 'G25']
129,['G10' 'G11' 'G14' 'G18' 'G25']
130,['G10' 'G11' 'G14' 'G18' 'G25']
131,['G10' 'G11' 'G14' 'G18' 'G25']
132,['G10' 'G11' 'G14' 'G18' 'G25']
133,['G10' 'G11' 'G14' 'G18' 'G25']
134,['G10' 'G11' 'G14' 'G18' 'G25']
